HGNC ID	Approved symbol	NCBI Gene ID	Ensembl gene ID
HGNC:41426	ACAP2-IT1		ENSG00000229325
HGNC:16754	ACAP3	116983	ENSG00000131584
HGNC:93	ACAT1	38	ENSG00000075239
HGNC:94	ACAT2	39	ENSG00000120437
HGNC:15453	ACBD3	64746	ENSG00000182827
HGNC:40701	ACBD3-AS1	107985353	ENSG00000234478
HGNC:23337	ACBD4	79777	ENSG00000181513
HGNC:23338	ACBD5	91452	ENSG00000107897
HGNC:23339	ACBD6	84320	ENSG00000230124
HGNC:17715	ACBD7	414149	ENSG00000176244
HGNC:96	ACBP		
HGNC:97	ACC		
HGNC:98	ACCN		
HGNC:14594	ACCPN		
HGNC:23989	ACCS	84680	ENSG00000110455
HGNC:34391	ACCSL	390110	ENSG00000205126
HGNC:25070	ACD	65057	ENSG00000102977
HGNC:2707	ACE	1636	ENSG00000159640
HGNC:13557	ACE2	59272	ENSG00000130234
HGNC:44365	ACE3P	100129123	ENSG00000224353
HGNC:18356	ACER1	125981	ENSG00000167769
HGNC:23675	ACER2	340485	ENSG00000177076
HGNC:54674	ACER2P1	645978	ENSG00000180105
HGNC:16066	ACER3	55331	ENSG00000078124
HGNC:106	ACH		
HGNC:107	ACHAP		
HGNC:108	ACHE	43	ENSG00000087085
HGNC:109	ACHM1		
HGNC:110	ACHM2		
HGNC:111	ACHM3		
HGNC:112	ACHRD		
HGNC:113	ACHRG		
HGNC:17066	ACIN1	22985	ENSG00000100813
HGNC:4035	ACKR1	2532	ENSG00000213088
HGNC:1565	ACKR2	1238	ENSG00000144648
HGNC:23692	ACKR3	57007	ENSG00000144476
HGNC:1611	ACKR4	51554	ENSG00000129048
HGNC:21142	ACKR4P1	285737	ENSG00000225415
HGNC:114	ACLS		
HGNC:115	ACLY	47	ENSG00000131473
HGNC:116	ACMG		
HGNC:19288	ACMSD	130013	ENSG00000153086
HGNC:34504	ACNATP	347275	ENSG00000227411
HGNC:117	ACO1	48	ENSG00000122729
HGNC:118	ACO2	50	ENSG00000100412
HGNC:33904	ACOD1	730249	ENSG00000102794
HGNC:33128	ACOT1	641371	ENSG00000184227
HGNC:18431	ACOT2	10965	ENSG00000119673
HGNC:19748	ACOT4	122970	ENSG00000177465
HGNC:33159	ACOT6	641372	ENSG00000205669
HGNC:24157	ACOT7	11332	ENSG00000097021
HGNC:15919	ACOT8	10005	ENSG00000101473
HGNC:17152	ACOT9	23597	ENSG00000123130
HGNC:18156	ACOT11	26027	ENSG00000162390
HGNC:24436	ACOT12	134526	ENSG00000172497
HGNC:20999	ACOT13	55856	ENSG00000112304
HGNC:119	ACOX1	51	ENSG00000161533
HGNC:120	ACOX2	8309	ENSG00000168306
HGNC:121	ACOX3	8310	ENSG00000087008
HGNC:25621	ACOXL	55289	ENSG00000153093
HGNC:41112	ACOXL-AS1	400997	ENSG00000204581
HGNC:122	ACP1	52	ENSG00000143727
HGNC:123	ACP2	53	ENSG00000134575
HGNC:125	ACP3	55	ENSG00000014257
HGNC:14376	ACP4	93650	ENSG00000142513
HGNC:124	ACP5	54	ENSG00000102575
HGNC:29609	ACP6	51205	ENSG00000162836
HGNC:33781	ACP7	390928	ENSG00000183760
HGNC:126	ACR	49	ENSG00000100312
HGNC:17195	ACRBP	84519	ENSG00000111644
HGNC:54745	ACRP1	645529	ENSG00000175509
HGNC:127	ACRV1	56	ENSG00000134940
HGNC:128	ACS3		
HGNC:29567	ACSBG1	23205	ENSG00000103740
HGNC:24174	ACSBG2	81616	ENSG00000130377
HGNC:26101	ACSF2	80221	ENSG00000167107
HGNC:27288	ACSF3	197322	ENSG00000176715
HGNC:3569	ACSL1	2180	ENSG00000151726
HGNC:3570	ACSL3	2181	ENSG00000123983
HGNC:40227	ACSL3-AS1	105373904	ENSG00000234193
HGNC:3571	ACSL4	2182	ENSG00000068366
HGNC:16526	ACSL5	51703	ENSG00000197142
HGNC:16496	ACSL6	23305	ENSG00000164398
HGNC:40772	ACSL6-AS1	101927693	ENSG00000223548
HGNC:18049	ACSM1	116285	ENSG00000166743
HGNC:32017	ACSM2A	123876	ENSG00000183747
HGNC:30931	ACSM2B	348158	ENSG00000066813
HGNC:10522	ACSM3	6296	ENSG00000005187
HGNC:32016	ACSM4	341392	ENSG00000215009
HGNC:26060	ACSM5	54988	ENSG00000183549
HGNC:51295	ACSM5P1	100421779	ENSG00000260762
HGNC:31665	ACSM6	142827	ENSG00000173124
HGNC:16091	ACSS1	84532	ENSG00000154930
HGNC:15814	ACSS2	55902	ENSG00000131069
HGNC:24723	ACSS3	79611	ENSG00000111058
HGNC:129	ACTA1	58	ENSG00000143632
HGNC:130	ACTA2	59	ENSG00000107796
